Name of School,Latitude,Longitude,Location,Data
Jane A Neil Elementary School,41.7384386,-87.62089767,"(-87.62089767, 41.7384386)",2
Louis Nettelhorst Elementary School,41.94162999,-87.64459776,"(-87.64459776, 41.94162999)",2
Walter L Newberry Math & Science Academy ES,41.91397435,-87.64601501,"(-87.64601501, 41.91397435)",2
Florence Nightingale Elementary School,41.79774019,-87.68917624,"(-87.68917624, 41.79774019)",2
William P Nixon Elementary School,41.91959342,-87.73138368,"(-87.73138368, 41.91959342)",2
Alfred Nobel Elementary School,41.90612797,-87.72993324,"(-87.72993324, 41.90612797)",2
Norwood Park Elementary School,41.98818136,-87.80299207,"(-87.80299207, 41.98818136)",2
West Park Elementary Academy,41.90691024,-87.73240646,"(-87.73240646, 41.90691024)",2
William B Ogden Elementary School,41.90003152,-87.62928901,"(-87.62928901, 41.90003152)",2
Richard J Oglesby Elementary School,41.75469091,-87.64550666,"(-87.64550666, 41.75469091)",2
Isabelle C O'Keeffe Elementary School,41.76861557,-87.57284299,"(-87.57284299, 41.76861557)",2
William J Onahan Elementary School,41.99381787,-87.79308113,"(-87.79308113, 41.99381787)",2
Oriole Park Elementary School,41.97851501,-87.81209057,"(-87.81209057, 41.97851501)",2
Brian Piccolo Elementary Specialty School,41.9001461,-87.73129753,"(-87.73129753, 41.9001461)",2
James Otis Elementary School,41.89179703,-87.66538928,"(-87.66538928, 41.89179703)",2
Luke O'Toole Elementary School,41.77418952,-87.67513395,"(-87.67513395, 41.77418952)",2
William Bishop Owen Scholastic Academy ES,41.74287191,-87.70571301,"(-87.70571301, 41.74287191)",2
Ida B Wells Preparatory Elementary Academy,41.82732778,-87.61978251,"(-87.61978251, 41.82732778)",2
John Palmer Elementary School,41.97326374,-87.73917547,"(-87.73917547, 41.97326374)",2
Francis W Parker Elementary Community Academy,41.77079606,-87.6353099,"(-87.6353099, 41.77079606)",2
Park Manor Elementary School,41.76648584,-87.61150917,"(-87.61150917, 41.76648584)",2
Parkside Elementary Community Academy,41.76856599,-87.58299131,"(-87.58299131, 41.76856599)",2
Louis Pasteur Elementary School,41.78688968,-87.73262962,"(-87.73262962, 41.78688968)",2
Ferdinand Peck Elementary School,41.78792632,-87.71922211,"(-87.71922211, 41.78792632)",2
Washington Irving Elementary School,41.87161238,-87.68357939,"(-87.68357939, 41.87161238)",2
Helen Peirce International Studies ES,41.98342819,-87.66586537,"(-87.66586537, 41.98342819)",2
William Penn Elementary School,41.85836995,-87.72133609,"(-87.72133609, 41.85836995)",2
Harold Washington Elementary School,41.72853492,-87.59629327,"(-87.59629327, 41.72853492)",2
Irma C Ruiz Elementary School,41.84809742,-87.68078114,"(-87.68078114, 41.84809742)",2
John J Pershing Elementary Humanities Magnet,41.83649005,-87.61837372,"(-87.61837372, 41.83649005)",2
Mary Gage Peterson Elementary School,41.98158041,-87.71261988,"(-87.71261988, 41.98158041)",2
Marcus Moziah Garvey Elementary School,41.7065956,-87.64754034,"(-87.64754034, 41.7065956)",2
Josiah Pickard Elementary School,41.85287295,-87.6833397,"(-87.6833397, 41.85287295)",2
John T Pirie Fine Arts & Academic Center ES,41.74036711,-87.60792289,"(-87.60792289, 41.74036711)",2
Ambrose Plamondon Elementary School,41.86028668,-87.69250468,"(-87.69250468, 41.86028668)",2
Edgar Allan Poe Elementary Classical School,41.70261965,-87.60645552,"(-87.60645552, 41.70261965)",2
Laura S Ward Elementary School,41.89321142,-87.71883334,"(-87.71883334, 41.89321142)",2
Portage Park Elementary School,41.9570151,-87.76100593,"(-87.76100593, 41.9570151)",2
William H Prescott Elementary School,41.92886824,-87.66955245,"(-87.66955245, 41.92886824)",2
Ernst Prussing Elementary School,41.96561054,-87.77245066,"(-87.77245066, 41.96561054)",2
Pulaski International School of Chicago,41.91851374,-87.68380061,"(-87.68380061, 41.91851374)",2
George M Pullman Elementary School,41.68879566,-87.60939383,"(-87.60939383, 41.68879566)",2
Ravenswood Elementary School,41.96074129,-87.67095905,"(-87.67095905, 41.96074129)",2
William H Ray Elementary School,41.79234967,-87.59471544,"(-87.59471544, 41.79234967)",2
William C Reavis Math & Science Specialty ES,41.80420101,-87.6049443,"(-87.6049443, 41.80420101)",2
Frank W Reilly Elementary School,41.94112155,-87.71953058,"(-87.71953058, 41.94112155)",2
Peter A Reinberg Elementary School,41.94300407,-87.76894541,"(-87.76894541, 41.94300407)",2
Paul Revere Elementary School,41.76422335,-87.60017165,"(-87.60017165, 41.76422335)",2
Philip Rogers Elementary School,42.01526618,-87.69714858,"(-87.69714858, 42.01526618)",2
Cesar E Chavez Multicultural Academic Center ES,41.80715514,-87.66600055,"(-87.66600055, 41.80715514)",2
Martha Ruggles Elementary School,41.75194729,-87.61802983,"(-87.61802983, 41.75194729)",2
William H Ryder Math & Science Specialty ES,41.73536767,-87.63887904,"(-87.63887904, 41.73536767)",2
Sauganash Elementary School,41.99117332,-87.74599137,"(-87.74599137, 41.99117332)",2
Sidney Sawyer Elementary School,41.79752155,-87.70504311,"(-87.70504311, 41.79752155)",2
Harriet E Sayre Elementary Language Academy,41.9141236,-87.79875667,"(-87.79875667, 41.9141236)",2
Jonathan Y Scammon Elementary School,41.94164944,-87.73222901,"(-87.73222901, 41.94164944)",2
Frederick Stock Elementary School,42.0168639,-87.81420664,"(-87.81420664, 42.0168639)",2
Franz Peter Schubert Elementary School,41.93038593,-87.76115305,"(-87.76115305, 41.93038593)",2
William H Seward Communication Arts Academy ES,41.81029632,-87.66880778,"(-87.66880778, 41.81029632)",2
Columbia Explorers Elementary Academy,41.81105689,-87.70423481,"(-87.70423481, 41.81105689)",2
Arnold Mireles Elementary Academy,41.73168217,-87.55282373,"(-87.55282373, 41.73168217)",2
William T Sherman Elementary School,41.79978772,-87.65025483,"(-87.65025483, 41.79978772)",2
Jesse Sherwood Elementary School,41.7907728,-87.6322812,"(-87.6322812, 41.7907728)",2
James Shields Elementary School,41.81593528,-87.68968453,"(-87.68968453, 41.81593528)",2
Beulah Shoesmith Elementary School,41.80432122,-87.59392226,"(-87.59392226, 41.80432122)",2
John D Shoop Math-Science Technical Academy ES,41.69093337,-87.65870614,"(-87.65870614, 41.69093337)",2
Mark Skinner Elementary School,41.87913069,-87.65937102,"(-87.65937102, 41.87913069)",2
Theophilus Schmid Elementary School,41.71701772,-87.59689622,"(-87.59689622, 41.71701772)",2
Washington D Smyser Elementary School,41.95889037,-87.78201198,"(-87.78201198, 41.95889037)",2
John M Smyth Elementary School,41.86532347,-87.65347031,"(-87.65347031, 41.86532347)",2
Hannah G Solomon Elementary School,41.99397007,-87.72407991,"(-87.72407991, 41.99397007)",2
Spencer Technology Academy,41.88488257,-87.75048169,"(-87.75048169, 41.88488257)",2
John Spry Elementary Community School,41.84815451,-87.69912725,"(-87.69912725, 41.84815451)",2
Adlai E Stevenson Elementary School,41.74711093,-87.73170248,"(-87.73170248, 41.74711093)",2
Dunne Technology Academy,41.69651565,-87.63993763,"(-87.63993763, 41.69651565)",2
Stone Elementary Scholastic Academy,41.99536777,-87.68475636,"(-87.68475636, 41.99536777)",2
Harriet Beecher Stowe Elementary School,41.91196584,-87.7132855,"(-87.7132855, 41.91196584)",2
William K New Sullivan Elementary School,41.7438302,-87.542891,"(-87.542891, 41.7438302)",2
Charles Sumner  Math & Science Community Acad ES,41.87084922,-87.73355414,"(-87.73355414, 41.87084922)",2
Elizabeth H Sutherland Elementary School,41.71142687,-87.67678398,"(-87.67678398, 41.71142687)",2
George B Swift Elementary Specialty School,41.98915734,-87.65833342,"(-87.65833342, 41.98915734)",2
Mancel Talcott Elementary School,41.89243235,-87.67370499,"(-87.67370499, 41.89243235)",2
Douglas Taylor Elementary School,41.71544589,-87.5330074,"(-87.5330074, 41.71544589)",2
Johnnie Colemon Elementary Academy,41.67747786,-87.65812011,"(-87.65812011, 41.67747786)",2
James N Thorp Elementary School,41.73331035,-87.54451462,"(-87.54451462, 41.73331035)",2
Ole A Thorp Elementary Scholastic Academy,41.94859865,-87.77764028,"(-87.77764028, 41.94859865)",2
George W Tilton Elementary School,41.88409703,-87.73052949,"(-87.73052949, 41.88409703)",2
Enrico Tonti Elementary School,41.78750499,-87.70814201,"(-87.70814201, 41.78750499)",2
Mark Twain Elementary School,41.79905206,-87.75896524,"(-87.75896524, 41.79905206)",2
John H Vanderpoel Elementary Magnet School,41.72078152,-87.66558526,"(-87.66558526, 41.72078152)",2
Mildred I Lavizzo Elementary School,41.69628998,-87.62713349,"(-87.62713349, 41.69628998)",2
Alessandro Volta Elementary School,41.97160605,-87.72464139,"(-87.72464139, 41.97160605)",2
Albany Park Multicultural Academy,41.9711433,-87.70962725,"(-87.70962725, 41.9711433)",2
James Wadsworth Elementary School,41.77350389,-87.60105531,"(-87.60105531, 41.77350389)",2
Francisco I Madero Middle School,41.84098398,-87.70508585,"(-87.70508585, 41.84098398)",2
John A Walsh Elementary School,41.85484214,-87.64804964,"(-87.64804964, 41.85484214)",2
James Ward Elementary School,41.84395162,-87.63531815,"(-87.63531815, 41.84395162)",2
Joseph Warren Elementary School,41.72677474,-87.5753162,"(-87.5753162, 41.72677474)",2
George Washington Elementary School,41.68810403,-87.53600985,"(-87.53600985, 41.68810403)",2
Thomas J Waters Elementary School,41.96434835,-87.69136881,"(-87.69136881, 41.96434835)",2
Daniel Webster Elementary School,41.86988904,-87.72748159,"(-87.72748159, 41.86988904)",2
Daniel S Wentworth Elementary School,41.76510322,-87.6582125,"(-87.6582125, 41.76510322)",2
John Whistler Elementary School,41.68391137,-87.65534733,"(-87.65534733, 41.68391137)",2
Socorro Sandoval Elementary School,41.79235177,-87.71102417,"(-87.71102417, 41.79235177)",2
Eli Whitney Elementary School,41.84006197,-87.7255084,"(-87.7255084, 41.84006197)",2
John Greenleaf Whittier Elementary School,41.85050786,-87.67342126,"(-87.67342126, 41.85050786)",2
A.N. Pritzker School,41.907025,-87.67779555,"(-87.67779555, 41.907025)",2
Wildwood Elementary School,42.00747007,-87.77837089,"(-87.77837089, 42.00747007)",2
National Teachers Elementary Academy,41.85277255,-87.62928114,"(-87.62928114, 41.85277255)",2
Richard Yates Elementary School,41.91502858,-87.70024324,"(-87.70024324, 41.91502858)",2
Ella Flagg Young Elementary School,41.90678358,-87.76717934,"(-87.76717934, 41.90678358)",2
Ludwig Van Beethoven Elementary School,41.80910779,-87.62711401,"(-87.62711401, 41.80910779)",2
Carrie Jacobs Bond Elementary School,41.76538639,-87.65305514,"(-87.65305514, 41.76538639)",2
Richard J Daley Elementary Academy,41.80234381,-87.67224309,"(-87.67224309, 41.80234381)",2
Joseph Brennemann Elementary School,41.95997841,-87.64971223,"(-87.64971223, 41.95997841)",2
Edward Beasley Elementary Magnet Academic Center,41.79847228,-87.62565509,"(-87.62565509, 41.79847228)",2
Chicago Academy Elementary School,41.94215439,-87.77650575,"(-87.77650575, 41.94215439)",2
Talman Elementary School,41.79407382,-87.6902983,"(-87.6902983, 41.79407382)",2
Rueben Salazar Elementary Bilingual Center,41.90144445,-87.63373912,"(-87.63373912, 41.90144445)",2
Willa Cather Elementary School,41.882977,-87.69922315,"(-87.69922315, 41.882977)",2
Robert Nathaniel Dett Elementary School,41.87984242,-87.68031236,"(-87.68031236, 41.87984242)",2
Dvorak Technology Academy,41.85885599,-87.71574626,"(-87.71574626, 41.85885599)",2
Jackie Robinson Elementary School,41.81735839,-87.59903174,"(-87.59903174, 41.81735839)",2
Morton School of Excellence,41.88928666,-87.7049885,"(-87.7049885, 41.88928666)",2
John Foster Dulles Elementary School,41.779797,-87.61717494,"(-87.61717494, 41.779797)",2
Arthur R Ashe Elementary School,41.74015307,-87.60113659,"(-87.60113659, 41.74015307)",2
John T McCutcheon Elementary School,41.97095968,-87.65472193,"(-87.65472193, 41.97095968)",2
Jensen Elementary Scholastic Academy,41.87384239,-87.70224149,"(-87.70224149, 41.87384239)",2
James Weldon Johnson Elementary School,41.86183983,-87.7031756,"(-87.7031756, 41.86183983)",2
Irvin C Mollison Elementary School,41.81434006,-87.61658079,"(-87.61658079, 41.81434006)",2
Henry O Tanner Elementary School,41.76069854,-87.60682834,"(-87.60682834, 41.76069854)",2
Adam Clayton Powell Paideia Community Academy ES,41.76032435,-87.55673627,"(-87.55673627, 41.76032435)",2
Ronald E McNair Elementary School,41.8978464,-87.74674645,"(-87.74674645, 41.8978464)",2
New Field Elementary School,42.00767533,-87.67315753,"(-87.67315753, 42.00767533)",2
Ashburn Community Elementary School,41.74233179,-87.70964592,"(-87.70964592, 41.74233179)",2
Benjamin E Mays Elementary Academy,41.77275433,-87.63729464,"(-87.63729464, 41.77275433)",2
Richard Henry Lee Elementary School,41.77532831,-87.72892174,"(-87.72892174, 41.77532831)",2
Genevieve Melody Elementary School,41.87877166,-87.72464875,"(-87.72464875, 41.87877166)",2
Thomas J Higgins Elementary Community Academy,41.68100687,-87.64702985,"(-87.64702985, 41.68100687)",2
Lenart Elementary Regional Gifted Center,41.74715024,-87.62800231,"(-87.62800231, 41.74715024)",2
William A Hinton Elementary School,41.76536255,-87.6413274,"(-87.6413274, 41.76536255)",2
Oliver S Westcott Elementary School,41.74884018,-87.63478949,"(-87.63478949, 41.74884018)",2
George Leland Elementary School,41.87358321,-87.74931216,"(-87.74931216, 41.87358321)",2
Wilma Rudolph Elementary Learning Center,41.88357478,-87.66951363,"(-87.66951363, 41.88357478)",2
Mary E McDowell Elementary School,41.7331047,-87.58960096,"(-87.58960096, 41.7331047)",2
Jose De Diego Elementary Community Academy,41.90531549,-87.68572005,"(-87.68572005, 41.90531549)",2
Edward White Elementary Career Academy,41.67233661,-87.65055321,"(-87.65055321, 41.67233661)",2
Amelia Earhart Options for Knowledge ES,41.72613498,-87.58217727,"(-87.58217727, 41.72613498)",2
Brighton Park Elementary School,41.82391375,-87.69204069,"(-87.69204069, 41.82391375)",2
Evergreen Academy Middle School,41.829365,-87.66778007,"(-87.66778007, 41.829365)",2
Thurgood Marshall Middle School,41.9520236,-87.72035833,"(-87.72035833, 41.9520236)",2
Logandale Middle School,41.9339976,-87.70804359,"(-87.70804359, 41.9339976)",2
Orozco Fine Arts & Sciences Elementary School,41.85778248,-87.67519253,"(-87.67519253, 41.85778248)",2
Amos Alonzo Stagg Elementary School,41.75892669,-87.6492534,"(-87.6492534, 41.75892669)",2
Albert R Sabin Elementary Magnet School,41.90684338,-87.68304259,"(-87.68304259, 41.90684338)",2
Carter G Woodson South Elementary School,41.81447955,-87.60845505,"(-87.60845505, 41.81447955)",2
Claremont Academy Elementary School,41.77753754,-87.68108634,"(-87.68108634, 41.77753754)",2
Robert A Black Magnet Elementary School,41.72965645,-87.57660534,"(-87.57660534, 41.72965645)",2
Durkin Park Elementary School,41.73886352,-87.72991927,"(-87.72991927, 41.73886352)",2
Calmeca Academy of Fine Arts and Dual Language,41.82440547,-87.71160875,"(-87.71160875, 41.82440547)",2
North River Elementary School,41.96173669,-87.70718808,"(-87.70718808, 41.96173669)",2
Mary E Courtenay Elementary Language Arts Center,41.9623189,-87.66388983,"(-87.66388983, 41.9623189)",2
Medgar Evers Elementary School,41.7156643,-87.63926881,"(-87.63926881, 41.7156643)",2
Walt Disney Magnet Elementary School,41.95680712,-87.6461175,"(-87.6461175, 41.95680712)",2
William E B Dubois Elementary School,41.65376037,-87.61434156,"(-87.61434156, 41.65376037)",2
Charles H Wacker Elementary School,41.7162148,-87.6480814,"(-87.6480814, 41.7162148)",2
Oscar DePriest Elementary School,41.87799914,-87.7662615,"(-87.7662615, 41.87799914)",2
Langston Hughes Elementary School,41.70536999,-87.62985093,"(-87.62985093, 41.70536999)",2
Mahalia Jackson Elementary School,41.73409818,-87.64675679,"(-87.64675679, 41.73409818)",2
Tarkington School of Excellence ES,41.76443483,-87.70642093,"(-87.70642093, 41.76443483)",2
Suder Montessori Magnet ES,41.88324176,-87.67764871,"(-87.67764871, 41.88324176)",2
Frazier Prospective IB Magnet ES,41.86695871,-87.72631742,"(-87.72631742, 41.86695871)",2
Velma F Thomas Early Childhood Center,41.82776914,-87.67750501,"(-87.67750501, 41.82776914)",2
Disney II Magnet School,41.95048055,-87.73060545,"(-87.73060545, 41.95048055)",2
LaSalle II Magnet Elementary School,41.90290876,-87.67373263,"(-87.67373263, 41.90290876)",2
Sir Miles Davis Magnet Elementary Academy,41.77122181,-87.66656657,"(-87.66656657, 41.77122181)",2
Edison Park Elementary School,41.99422812,-87.81380814,"(-87.81380814, 41.99422812)",2
South Shore Fine Arts Academy,41.76772772,-87.59039017,"(-87.59039017, 41.76772772)",2
Irene C. Hernandez Middle School for the Advancem,41.79350627,-87.71139803,"(-87.71139803, 41.79350627)",2
Dr Jorge Prieto Math and Science,41.92131717,-87.7657438,"(-87.7657438, 41.92131717)",2
Skinner North Classical School,41.9051367,-87.64483441,"(-87.64483441, 41.9051367)",2
Marvin Camras Elementary School,41.93496641,-87.77016525,"(-87.77016525, 41.93496641)",2
Federico Garcia Lorca Elementary School,41.94001885,-87.72474354,"(-87.72474354, 41.94001885)",2
West Ridge Elementary School,42.00299575,-87.70595357,"(-87.70595357, 42.00299575)",2
Mariano Azuela Elementary School,41.77105158,-87.73992325,"(-87.73992325, 41.77105158)",2
STEM Magnet Academy,41.86860344,-87.66496329,"(-87.66496329, 41.86860344)",2
James Shields Middle School,41.8064639,-87.68978289,"(-87.68978289, 41.8064639)",2
